,Block_G50-G59,Block_E00-E07,Block_M91-M94,Block_M80-M85,Block_C43-C44,Block_M15-M19,Block_N30-N39,Block_M65-M68,Block_D70-D77,Block_B95-B98,Block_K00-K14,Block_K80-K87,Block_C64-C68,Block_K90-K93,Block_J80-J84,Block_F20-F29,Block_F30-F39,Block_J90-J94,Block_F40-F48,Block_E65-E68,Block_G35-G37,Block_J95-J99,Block_E10-E14,Block_B35-B49,Block_C81-C96,Block_M60-M63,Block_K70-K77,Block_M95-M99,Block_D60-D64,Block_L60-L75,Block_C15-C26,Block_D65-D69,Block_I70-I79,Block_L20-L30,Block_L50-L54,Block_D37-D48,Block_M40-M43,Block_L55-L59,Block_A30-A49,Block_K20-K31,Block_E20-E35,Block_D50-D53,Block_M20-M25,Block_H65-H75,Block_M50-M54,Block_F10-F19,Block_K55-K64,Block_N00-N08,Block_F00-F09,Block_M45-M49,Block_G90-G99,Block_I80-I89,Block_J20-J22,Block_J40-J47,Block_K35-K38,Block_K50-K52,Block_K40-K46,Block_L40-L45,Block_I60-I69,Block_A00-A09,Block_I30-I52,Block_I10-I15,Block_H53-H54,Block_J30-J39,Block_G80-G83,Block_N10-N16,Block_I26-I28,Block_E50-E64,Block_I95-I99,Block_H80-H83,Block_C30-C39,Block_M86-M90,Block_H60-H62,Block_H10-H13,Block_H15-H22,Block_I05-I09,Block_H43-H45,Block_H90-H95,Block_H00-H06,Block_B25-B34,Block_G60-G64,Block_I20-I25,Block_L00-L08,Block_H40-H42,Block_G40-G47,Block_L80-L99,Block_H25-H28,Block_H55-H59,Block_N25-N29,Block_M70-M79,Block_D80-D89,Block_H49-H52,Block_J09-J18,Block_G20-G26,Block_G30-G32,Block_M05-M14,Block_N17-N19,Block_E70-E90,Block_D00-D09,Block_B00-B09,Block_H30-H36,Block_K65-K67,Block_N20-N23
Block_G50-G59,2.4424906541753444e-15,0.9096067086653243,1.0,0.907681020511587,1.0,0.8392600840669541,1.0,0.9877372132103007,1.0,1.0,1.0,0.997874504269944,1.0,0.8345287755888003,1.0,1.0,1.0,1.0,1.0,0.9983464861665937,0.990481321361481,1.0,0.8631415966809405,0.9482465092171395,0.864981841532337,1.0,1.0,1.0,0.8305715382362762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9829266882032658,0.8946677138245405,0.9958544214279428,1.0,1.0,1.0,0.9916576096774341,0.8740976839416585,1.0,1.0,1.0,0.9923051623593614,1.0,0.9480270651725615,1.0,1.0,0.9913164864119383,0.8681956551265512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9932348990850827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991169784286233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9840103898709726,0.9884385337396784,1.0,0.9625365675367322,1.0,0.981169953873686,1.0,1.0
Block_E00-E07,0.9096067086653243,4.884981308350689e-15,1.0,0.8817023041248755,0.8798502085732246,0.9415179222312219,0.9972403999871763,0.9973407828891073,1.0,1.0,0.984957196385924,0.9944689688781913,1.0,0.3151760477593596,1.0,1.0,1.0,1.0,0.9829430639782735,0.974900186654068,0.5932248117696263,1.0,0.674564287004232,0.791753251434328,0.8104306369709757,0.9845857131984566,0.9851507501704557,1.0,0.5488205048247567,0.9854471644717737,0.9906085097987546,0.9602004826159716,0.9950250603269964,0.9957812595947654,0.9900501206539929,1.0,1.0,0.9495075425060933,1.0,0.9927603993813402,0.9432299903816745,0.8521308283032442,0.9973030616133787,1.0,1.0,1.0,0.9615572843449725,0.9948808293094633,1.0,1.0,0.935373637913258,0.974414102426568,0.9834168677566548,0.6647890284765074,1.0,0.9932726537093494,0.8693168548996164,0.5997023110626414,1.0,1.0,1.0,0.8987846652466077,1.0,0.9219654562519812,1.0,1.0,1.0,0.9339836646573776,1.0,1.0,0.9875518404293724,1.0,0.9677587059890419,1.0,0.9874142875291003,1.0,0.9959379787666709,1.0,0.9942554344811785,1.0,0.9974309521997428,0.9879438447486151,0.9958506134764574,0.9991929582162056,0.9980851448270595,1.0,0.9938438262371441,1.0,1.0,0.9973920250156317,0.8993483716563383,1.0,0.984957196385924,1.0,1.0,0.733227803812193,0.9686608258040086,0.9994366990062004,0.8682744542906132,1.0,0.9897916391851375,1.0,1.0
Block_M91-M94,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9459437522382664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9037749551350623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_M80-M85,0.907681020511587,0.8817023041248755,1.0,-4.440892098500626e-16,1.0,0.997626704082173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8953527737254061,1.0,0.9685146716963425,1.0,1.0,1.0,1.0,0.9983135010846729,1.0,0.8264994030027546,0.8191556696550091,0.6016341245412791,1.0,1.0,1.0,0.8134535510787541,1.0,1.0,1.0,1.0,0.7608719178504368,1.0,1.0,1.0,1.0,1.0,1.0,0.9924374687601824,0.8231969242381836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9236117025017682,1.0,1.0,0.9976922107358108,0.9990925074202927,1.0,1.0,1.0,0.9616846691566218,1.0,1.0,1.0,1.0,1.0,0.991010305273163,1.0,1.0,1.0,1.0,0.9905919587092956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9842573358481712,1.0,0.7078433612494461,1.0,1.0,1.0,1.0,0.9747685529962066,1.0,1.0,1.0,1.0,0.9937444995833484,1.0,1.0
Block_C43-C44,1.0,0.8798502085732246,1.0,1.0,-1.5543122344752192e-15,1.0,1.0,1.0,1.0,1.0,1.0,0.9985838307737542,0.987519485592517,0.8916242375494031,0.9646997745190896,1.0,1.0,1.0,1.0,1.0,0.8372199973514077,1.0,0.7992868112923008,1.0,0.9786536748537973,1.0,1.0,1.0,0.929042889759053,0.8039488377892449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8836468705435371,1.0,1.0,0.9962081475214262,0.998153144871441,1.0,1.0,1.0,1.0,0.8624309858839578,1.0,1.0,1.0,1.0,0.9606938091960818,1.0,0.6867705751899115,1.0,0.9948325761067119,1.0,0.9881695658712967,1.0,1.0,0.9933288844395004,0.9975985870732524,1.0,0.9595585111711799,0.9726565629190135,1.0,1.0,1.0,1.0,1.0,0.9936255283620409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753050660134138,1.0,0.8908964219075176,1.0,0.8007213867947256,0.9837873362062332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461899236361446,1.0,0.9982692640522943,0.978604832444315,1.0,0.8118095594656585,1.0,0.9837873362062332
Block_M15-M19,0.8392600840669541,0.9415179222312219,1.0,0.997626704082173,1.0,-1.7763568394002505e-15,1.0,0.968790610803382,1.0,1.0,1.0,0.9945905099213834,1.0,0.9864792267603308,1.0,1.0,0.9946020810364059,1.0,1.0,0.9242510827458822,0.9994616555466882,1.0,0.980649372377755,1.0,1.0,1.0,1.0,1.0,0.9778238106866818,1.0,1.0,1.0,1.0,1.0,1.0,0.9925088904170751,1.0,1.0,1.0,1.0,1.0,0.9506176167607698,0.7063388715207345,1.0,0.85361498905772,1.0,1.0,1.0,1.0,0.9932240364318188,1.0,0.9978240293005538,0.9740500351946159,0.9772863431691008,1.0,1.0,0.7524803953709993,0.9994206416710179,1.0,1.0,1.0,0.9671303386670688,1.0,1.0,1.0,1.0,1.0,0.9885216592808304,1.0,0.910106685004901,0.9675343497628217,1.0,1.0,1.0,1.0,1.0,1.0,0.9825922344044302,1.0,1.0,1.0,0.9952835085695703,1.0,1.0,1.0,1.0,0.9655948823398013,1.0,1.0,0.9863964462875948,1.0,0.941974114681434,1.0,1.0,1.0,0.9898264160060627,0.9068224346633875,1.0,0.9954597019559733,1.0,1.0,1.0,1.0
Block_N30-N39,1.0,0.9972403999871763,1.0,1.0,1.0,1.0,-4.440892098500626e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9603785574124837,1.0,0.9923283191036201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8613249509436927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9749411994483705,1.0,1.0,1.0,0.9873931773585175,1.0,1.0,1.0,1.0,0.984495658176349,1.0,0.9952399837587969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836601404136198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.913370383635158,0.9879184399669098,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_M65-M68,0.9877372132103007,0.9973407828891073,1.0,1.0,1.0,0.968790610803382,1.0,0.0,1.0,1.0,1.0,0.9752387240879109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948565550012636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9724788014685171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947515057738116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892054201090483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_D70-D77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5571925572299525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6535898384862247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9674699975683823,1.0,0.9849415349515791,1.0,1.0,1.0,1.0
Block_B95-B98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1102230246251565e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.990616634629587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.867053753770002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9799114149077423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9248353971997171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753966084347439,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_K00-K14,1.0,0.984957196385924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7817821097640076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_K80-K87,0.997874504269944,0.9944689688781913,1.0,1.0,0.9985838307737542,0.9945905099213834,1.0,0.9752387240879109,1.0,1.0,1.0,1.6653345369377348e-15,1.0,0.9976336900716254,1.0,1.0,0.9935760024026774,0.9853510316172738,1.0,0.9666119023713102,0.9993593228246049,0.959779413118256,0.9992058984072325,0.9980647827316529,1.0,1.0,0.9604946701245505,1.0,0.9951126643081811,0.9947881309424373,1.0,1.0,1.0,1.0,1.0,0.9554246087366717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761664443662315,1.0,1.0,1.0,0.989641615119187,1.0,0.9944347434127997,1.0,1.0,0.9964932134998713,0.9958630762649774,1.0,1.0,1.0,0.759835003560645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9447552806356638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7733480703691534,1.0,0.7997378923042815,1.0,1.0,1.0,0.9989910451358818,0.9941637112972436,0.7797027728877244,1.0,1.0,1.0,0.7728773868303562,1.0
Block_C64-C68,1.0,1.0,1.0,1.0,0.987519485592517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.220446049250313e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9262288886436683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7929803321972937,0.9845475743196147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_K90-K93,0.8345287755888003,0.3151760477593596,1.0,0.8953527737254061,0.8916242375494031,0.9864792267603308,1.0,1.0,1.0,1.0,1.0,0.9976336900716254,1.0,-1.1102230246251565e-15,0.9941016036444472,1.0,1.0,1.0,0.9751889318704368,0.9977909758300436,0.5320309635534923,1.0,0.6595448829988436,0.775080098758596,0.7977110965868874,0.9947243139162988,0.9847531095623667,1.0,0.5397565851836355,0.9850574613934843,1.0,0.9713942979212095,0.9948918389145017,1.0,1.0,1.0,1.0,0.9990029890448059,1.0,0.9993805444791712,0.9657861721581499,0.8870541213697731,0.9935386305259148,1.0,1.0,1.0,0.96981541176751,1.0,1.0,1.0,1.0,0.9663045234897797,0.9863782371053379,0.6181150299814719,1.0,1.0,0.8658173565491128,0.56343692978887,1.0,1.0,1.0,0.983147179016051,0.969196629655832,0.9333907322609319,1.0,1.0,1.0,0.9442663625527857,1.0,1.0,1.0,1.0,1.0,1.0,0.9870772610518298,1.0,0.9958292039388625,1.0,1.0,1.0,1.0,0.9921599660449436,1.0,1.0,1.0,1.0,0.9954849808213136,0.9980338678814824,1.0,0.9973221873625132,0.8857744482428522,1.0,0.9980692965872734,1.0,1.0,0.7596838088330821,0.9716830166133431,0.9982648439548537,0.8409139216680438,1.0,0.9895182746146298,1.0,1.0
Block_J80-J84,1.0,1.0,1.0,1.0,0.9646997745190896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9941016036444472,-2.220446049250313e-16,1.0,1.0,1.0,1.0,1.0,0.992015061359626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9739179734521349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9874251136293036,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_F20-F29,1.0,1.0,1.0,0.9685146716963425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8597766263003758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_F30-F39,1.0,1.0,1.0,1.0,1.0,0.9946020810364059,1.0,1.0,1.0,1.0,1.0,0.9935760024026774,1.0,1.0,1.0,1.0,-8.881784197001252e-16,0.6491767922771883,0.9801892787062418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8890599607549542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916223339071438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947510719840821,0.9938078879647566,1.0,1.0,1.0,0.9101307722749091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9842981426744668,1.0,1.0,1.0,1.0,1.0
Block_J90-J94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9853510316172738,1.0,1.0,1.0,1.0,0.6491767922771883,1.1102230246251565e-16,1.0,0.9886039423540363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9641942562980284,1.0,1.0,1.0,1.0,1.0
Block_F40-F48,1.0,0.9829430639782735,1.0,1.0,1.0,1.0,0.9603785574124837,1.0,1.0,1.0,1.0,1.0,1.0,0.9751889318704368,1.0,1.0,0.9801892787062418,1.0,-4.440892098500626e-16,1.0,0.9901212004139659,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9612782327326321,1.0,1.0,0.9871190052190367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975482167671859,1.0,1.0,0.9945927773992538,0.9978737164336678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.855751358621068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98133113534847,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_E65-E68,0.9983464861665937,0.974900186654068,0.9459437522382664,1.0,1.0,0.9242510827458822,1.0,1.0,1.0,0.990616634629587,1.0,0.9666119023713102,1.0,0.9977909758300436,1.0,1.0,1.0,0.9886039423540363,1.0,0.0,1.0,1.0,0.7936663172887333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9708442281550083,1.0,1.0,1.0,1.0,0.9445166414282348,1.0,1.0,1.0,0.9978149056936648,1.0,1.0,0.9967439835297246,1.0,0.9466108966465079,1.0,0.9967238637720162,0.9814588599814996,0.9890086659983874,1.0,1.0,0.9576942943886675,1.0,1.0,1.0,1.0,0.9017891606914498,1.0,1.0,1.0,1.0,0.757964268556219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887437765779568,0.9984301819086148,1.0,0.9857184488250504,1.0,1.0,1.0,1.0,1.0
Block_G35-G37,0.990481321361481,0.5932248117696263,1.0,0.9983135010846729,0.8372199973514077,0.9994616555466882,0.9923283191036201,1.0,1.0,1.0,1.0,0.9993593228246049,1.0,0.5320309635534923,0.992015061359626,1.0,1.0,1.0,0.9901212004139659,1.0,9.992007221626409e-16,1.0,0.5805993792659027,0.9560894889300544,0.9730980481506677,1.0,0.9823081959528017,1.0,0.9028211919089305,0.9984439674954112,1.0,0.9778714889272836,1.0,1.0,1.0,1.0,1.0,0.9973005980537367,1.0,0.9991614137087274,0.9982845600014008,0.920625585562794,0.9918777281175489,1.0,1.0,1.0,0.9025591131741181,0.9928843593619727,1.0,1.0,1.0,0.9636624971097784,0.976949467632587,0.6036044299162336,1.0,1.0,0.9916242350364722,0.6368801302366445,1.0,1.0,1.0,0.9443218478797935,0.9958300017956009,0.8823841886957766,1.0,1.0,1.0,0.9551382743088467,1.0,1.0,1.0,1.0,1.0,1.0,0.9825058759454901,1.0,1.0,1.0,0.992015061359626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9926653655138691,1.0,1.0,0.996374918145231,0.9815913640524424,1.0,1.0,0.9930848402897762,1.0,0.484898259111208,0.9965150870724675,0.9992170123472671,0.7991564484668895,1.0,0.9077675458692851,1.0,1.0
